Bahan,Lanmadaw,Yankin,South Oakklar,Hlaing,Sanchoung,Condo name,Total_Area_squft,Bedrooms,Bathrooms,Swimming Pool,Security,Gym,Has_Elevator,Has_Parking,View_type, Price_USD 
1,0,0,0,0,0,5 floor Pagoda st mini Condo,1500,3,2,0,1,0,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Aung Chan Thar Eain Yar Condo,1375,3,2,0,0,0,1,1,City View,"$91,111.11 "
1,0,0,0,0,0,Aye Yiek Thar Condo,1566,3,2,0,0,0,0,0,City View,"$132,222.22 "
1,0,0,0,0,0,Aye Yiek That (1) st mini Condo,1120,2,2,0,1,0,1,0,City View,"$71,111.11 "
1,0,0,0,0,0,Aye Yiek That st mini Condo,1570,2,1,0,0,0,1,0,City View,"$80,000.00 "
1,0,0,0,0,0,Bahan Residence,1200,2,2,0,1,0,1,1,City View,"$108,888.89 "
1,0,0,0,0,0,Delta Plaza Condo,2000,3,1,0,0,0,1,0,City View,"$133,333.33 "
1,0,0,0,0,0,Delta Plaza Condo,1650,3,3,0,0,0,0,0,City View,"$88,888.89 "
1,0,0,0,0,0,Delta Plaza Condo,1769,6,3,0,1,0,1,1,City View,"$155,555.56 "
1,0,0,0,0,0,Delta Plaza mini Condo,1800,3,2,0,1,0,0,1,City View,"$88,888.89 "
1,0,0,0,0,0,Diamond Hill Residence,2100,4,4,1,1,1,1,1,City View,"$377,777.78 "
1,0,0,0,0,0,Diamond Hill Residence,1200,3,2,0,1,0,1,1,City View,"$128,888.89 "
1,0,0,0,0,0,East Shwe Da Gone Pike Lone Condo,972,2,1,0,0,0,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Father Land mini Condo,1750,2,2,0,1,0,1,1,City View,"$77,777.78 "
1,0,0,0,0,0,Gant Gaw Condo,1500,3,2,0,1,0,1,1,City View,"$102,000.00 "
1,0,0,0,0,0,Golden Link Condo,2200,4,3,1,1,1,1,1,City View,"$311,111.11 "
1,0,0,0,0,0,Golden Link Condo,2326,4,2,1,1,1,1,1,City View,"$522,222.22 "
1,0,0,0,0,0,Golden Link Condo,2400,4,3,1,1,1,1,1,City View,"$322,222.22 "
1,0,0,0,0,0,Golden Link Condo,2045,4,3,1,1,1,1,1,City View,"$222,222.22 "
1,0,0,0,0,0,Golden Link Condo,1913,5,3,1,1,1,1,1,City View,"$222,222.22 "
1,0,0,0,0,0,Golden Link Condo (L5 C7),4300,2,1,1,1,1,1,1,City View,"$355,555.56 "
1,0,0,0,0,0,Golden Royal Sayar San Condo,2006,3,1,0,0,0,0,0,City View,"$266,666.67 "
1,0,0,0,0,0,Golden valley Condo,2326,4,2,0,0,0,0,0,City View,"$566,666.67 "
1,0,0,0,0,0,Golden valley Condo,1200,2,1,1,1,1,1,1,City View,"$400,000.00 "
1,0,0,0,0,0,Golden valley Condo,1600,3,3,0,0,0,0,0,City View,"$288,888.89 "
1,0,0,0,0,0,Golden valley Condo,1700,3,3,0,0,0,0,0,City View,"$300,000.00 "
1,0,0,0,0,0,Golden valley Condo,1126,2,1,1,1,1,1,1,City View,"$375,333.33 "
1,0,0,0,0,0,Grand Saya San Condo,1680,3,2,1,1,1,1,1,City View,"$204,444.44 "
1,0,0,0,0,0,Grand Saya San Condo,2000,3,3,1,1,1,1,1,City View,"$204,444.44 "
1,0,0,0,0,0,Grand Sayar San,1684,3,2,1,1,1,1,1,City View,"$175,555.56 "
1,0,0,0,0,0,Grand Sayarsan Condo,2000,3,2,1,1,1,0,1,City View,"$204,444.44 "
1,0,0,0,0,0,Grand Sayarsan Condo ,1680,2,1,1,1,1,1,1,City View,"$204,444.44 "
1,0,0,0,0,0,Grand Shwe Taung Kyar Condo,895,3,2,1,0,1,1,1,City View,"$217,777.78 "
1,0,0,0,0,0,Grand Shwe Taung Kyar Condo,986,2,1,1,0,1,0,1,City View,"$217,777.78 "
1,0,0,0,0,0,Grannd Sayar San Condo,1585,3,2,1,0,1,1,1,City View,"$188,888.89 "
1,0,0,0,0,0,Infinity Condo,1670,2,2,1,1,1,1,1,Inya View,"$277,777.78 "
1,0,0,0,0,0,Infinity Condo,1317,2,2,1,1,1,1,1,City View,"$211,111.11 "
1,0,0,0,0,0,Infinity Condo,1317,2,2,1,1,1,1,1,City View,"$248,755.56 "
1,0,0,0,0,0,Infinity Condo,1638,3,2,1,1,1,1,1,City View,"$309,400.00 "
1,0,0,0,0,0,Infinity Condo,2478,4,4,1,1,1,1,1,Inya View,"$555,555.56 "
1,0,0,0,0,0,Infinity Condo,1633,3,4,1,1,1,1,1,Shwe da gon View,"$355,555.56 "
1,0,0,0,0,0,Infinity Condo,1754,3,3,1,1,1,1,1,City View,"$389,777.78 "
1,0,0,0,0,0,Infinity Condo,800,1,1,0,0,0,1,1,City View,"$71,111.11 "
1,0,0,0,0,0,Infinity Condo,1100,2,1,0,0,0,1,1,City View,"$93,333.33 "
1,0,0,0,0,0,Infinity Condo,1780,3,1,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,Infinity Condo,1860,3,1,0,0,0,0,0,City View,"$176,666.67 "
1,0,0,0,0,0,Infinity Condo,1750,3,1,0,0,0,0,0,City View,"$155,555.56 "
1,0,0,0,0,0,Infinity Condo,1356,2,2,1,1,1,1,1,Shwe da gone View,"$240,888.89 "
1,0,0,0,0,0,Infinity Condo,1356,2,1,0,0,0,0,0,Inya View,"$177,777.78 "
1,0,0,0,0,0,Infinity Condo,1350,2,2,0,0,0,0,0,Shwe da gone View,"$270,000.00 "
1,0,0,0,0,0,Infinity Condo,2700,3,3,1,1,1,0,1,City View,"$600,000.00 "
1,0,0,0,0,0,Infinity Condo,1356,2,2,1,1,1,1,1,City View,"$166,666.67 "
1,0,0,0,0,0,Infinity Condo,1307,2,2,1,1,1,1,1,City View,"$300,000.00 "
1,0,0,0,0,0,Infinity Condo,1950,2,2,1,1,1,1,1,City View,"$122,222.22 "
1,0,0,0,0,0,Infinity Condo,1683,3,3,1,1,1,1,1,City View,"$377,777.78 "
1,0,0,0,0,0,Infinity Condo,1370,2,2,0,0,0,0,0,City View,"$300,000.00 "
1,0,0,0,0,0,Infinity Condo,1638,3,3,1,1,1,1,1,City View,"$377,777.78 "
1,0,0,0,0,0,Infinity Condo,1679,2,2,0,0,0,0,0,City View,"$400,000.00 "
1,0,0,0,0,0,Infinity Condo,1650,3,3,0,0,0,1,1,Shwe da gon View,"$333,333.33 "
1,0,0,0,0,0,Infinity Condo,1700,3,2,1,0,1,1,1,City View,"$377,777.78 "
1,0,0,0,0,0,Infinity Condo,965,2,1,1,0,1,1,1,City View,"$244,444.44 "
1,0,0,0,0,0,Infinity Condo,1370,3,1,0,0,0,0,0,City View,"$233,333.33 "
1,0,0,0,0,0,Infinity Condo ,1307,2,1,0,0,0,0,0,City View,"$188,777.78 "
1,0,0,0,0,0,Infinity Condo (2BR),1358,2,2,0,0,0,1,1,City View,"$241,422.22 "
1,0,0,0,0,0,Infinity Luxury Condo,1683,3,3,1,1,1,1,1,City View,"$377,777.78 "
1,0,0,0,0,0,Inya Myaing Residence,2000,3,2,0,0,0,0,0,City View,"$277,777.78 "
1,0,0,0,0,0,Inya Myaing Residence,2120,3,3,0,1,0,1,1,Shwe da gon View,"$222,222.22 "
1,0,0,0,0,0,Inya Myaing Residence,2025,3,3,0,1,0,1,1,City View,"$266,666.67 "
1,0,0,0,0,0,Inya Myaing Residence,2100,2,1,0,0,0,0,0,City View,"$333,333.33 "
1,0,0,0,0,0,Inya Myaing Residence,2200,3,4,0,0,0,0,0,City View,"$288,888.89 "
1,0,0,0,0,0,Inya Myaing Residence Condo,2100,3,2,0,0,0,0,0,City View,"$266,666.67 "
1,0,0,0,0,0,Inya Myaing Suit Residence,1150,2,2,1,1,1,1,0,City View,"$383,333.33 "
1,0,0,0,0,0,Inya Myaing Suite,1150,3,3,1,0,1,1,1,City View,"$383,333.33 "
1,0,0,0,0,0,Inya Myaing Suites Residence,1200,2,2,1,0,1,0,0,City View,"$400,000.00 "
1,0,0,0,0,0,Inya Myaing Suites Residence ,2100,3,3,0,1,0,1,1,City View,"$288,888.89 "
1,0,0,0,0,0,JL Residence,1870,3,2,0,0,0,0,0,City View,"$391,111.11 "
1,0,0,0,0,0,Kan daw Gyi Condo,1500,3,2,0,1,0,1,1,City View,"$115,555.56 "
1,0,0,0,0,0,KohKai Residence Condo,700,1,1,0,0,0,0,0,City View,"$111,111.11 "
1,0,0,0,0,0,Kyo Point Mini Condo,1500,3,1,0,0,0,1,0,City View,"$88,888.89 "
1,0,0,0,0,0,Moe Myint San Condo,1800,5,4,0,0,0,1,0,City View,"$222,222.22 "
1,0,0,0,0,0,Mona Lisa Residence,1600,3,3,0,1,0,1,1,City View,"$195,555.56 "
1,0,0,0,0,0,My residence Condo,1600,3,3,1,1,1,1,1,City View,"$288,888.89 "
1,0,0,0,0,0,My residence Condo,1600,3,2,0,0,0,0,0,City View,"$288,888.89 "
1,0,0,0,0,0,My residence Condo,1500,3,3,0,1,0,1,1,City View,"$300,000.00 "
1,0,0,0,0,0,My residence Condo,1500,3,3,0,0,1,1,1,City View,"$311,111.11 "
1,0,0,0,0,0,My residence Condo,1700,3,1,0,0,0,0,0,City View,"$266,666.67 "
1,0,0,0,0,0,Near Kan Taw Gyi,1500,3,2,0,1,0,1,1,City View,"$11,555.56 "
1,0,0,0,0,0,Near Merry Browm mini Condo,1350,3,2,0,1,0,1,1,City View,"$58,888.89 "
1,0,0,0,0,0,Near SDG mini Condo,972,1,1,0,0,0,0,0,City View,"$73,333.33 "
1,0,0,0,0,0,Near SSC mini Condo,1300,3,2,0,0,0,0,0,City View,"$64,444.44 "
