Bahan,Lanmadaw,Yankin,South_Oakklar,Hlaing,Sanchoung,Condo_name,Total_Area_squft,Bedrooms,Bathrooms,Swimming_Pool,Security,Gym,Has_Elevator,Has_Parking,View_type,Price_USD,log_price
1,0,0,0,0,0,5 floor Pagoda st mini Condo,1500.0,3,2,0.0,1.0,0.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Aung Chan Thar Eain Yar Condo,1375.0,3,2,0.0,0.0,0.0,1,1,City View,91111.11,11.419846005258753
1,0,0,0,0,0,Aye Yiek Thar Condo,1566.0,3,2,0.0,0.0,0.0,0,0,City View,132222.22,11.792246833941508
1,0,0,0,0,0,Aye Yiek That (1) st mini Condo,1120.0,2,2,0.0,1.0,0.0,1,0,City View,71111.11,11.172012924775979
1,0,0,0,0,0,Aye Yiek That st mini Condo,1570.0,2,1,0.0,0.0,0.0,1,0,City View,80000.0,11.289794413577894
1,0,0,0,0,0,Bahan Residence,1200.0,2,2,0.0,1.0,0.0,1,1,City View,108888.89,11.598092467145824
1,0,0,0,0,0,Delta Plaza Condo,2000.0,3,1,0.0,0.0,0.0,1,0,City View,133333.33,11.800615012394072
1,0,0,0,0,0,Delta Plaza Condo,1650.0,3,3,0.0,0.0,0.0,0,0,City View,88888.89,11.395153691750423
1,0,0,0,0,0,Delta Plaza Condo,1769.0,6,3,0.0,1.0,0.0,1,1,City View,155555.56,11.954764674371278
1,0,0,0,0,0,Delta Plaza mini Condo,1800.0,3,2,0.0,1.0,0.0,0,1,City View,88888.89,11.395153691750423
1,0,0,0,0,0,Diamond Hill Residence,2100.0,4,4,1.0,1.0,1.0,1,1,City View,377777.78,12.842064065187827
1,0,0,0,0,0,Diamond Hill Residence,1200.0,3,2,0.0,1.0,0.0,1,1,City View,128888.89,11.766713752957543
1,0,0,0,0,0,East Shwe Da Gone Pike Lone Condo,972.0,2,1,0.0,0.0,0.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Father Land mini Condo,1750.0,2,2,0.0,1.0,0.0,1,1,City View,77777.78,11.261623922320588
1,0,0,0,0,0,Gant Gaw Condo,1500.0,3,2,0.0,1.0,0.0,1,1,City View,102000.0,11.532737896139919
1,0,0,0,0,0,Golden Link Condo,2200.0,4,3,1.0,1.0,1.0,1,1,City View,311111.11,12.647908608518344
1,0,0,0,0,0,Golden Link Condo,2326.0,4,2,1.0,1.0,1.0,1,1,City View,522222.22,13.16585039998054
1,0,0,0,0,0,Golden Link Condo,2400.0,4,3,1.0,1.0,1.0,1,1,City View,322222.22,12.682999814167413
1,0,0,0,0,0,Golden Link Condo,2045.0,4,3,1.0,1.0,1.0,1,1,City View,222222.22,12.31143765117792
1,0,0,0,0,0,Golden Link Condo,1913.0,5,3,1.0,1.0,1.0,1,1,City View,222222.22,12.31143765117792
1,0,0,0,0,0,Golden Link Condo (L5 C7),4300.0,2,1,1.0,1.0,1.0,1,1,City View,355555.56,12.781439615429745
1,0,0,0,0,0,Golden Royal Sayar San Condo,2006.0,3,1,0.0,0.0,0.0,0,0,City View,266666.67,12.493758480474876
1,0,0,0,0,0,Golden valley Condo,2326.0,4,2,0.0,0.0,0.0,0,0,City View,566666.67,13.247528290945002
1,0,0,0,0,0,Golden valley Condo,1200.0,2,1,1.0,1.0,1.0,1,1,City View,400000.0,12.899222326086994
1,0,0,0,0,0,Golden valley Condo,1600.0,3,3,0.0,0.0,0.0,0,0,City View,288888.89,12.573800891034102
1,0,0,0,0,0,Golden valley Condo,1700.0,3,3,0.0,0.0,0.0,0,0,City View,300000.0,12.611541086966115
1,0,0,0,0,0,Golden valley Condo,1126.0,2,1,1.0,1.0,1.0,1,1,City View,375333.33,12.835572454427544
1,0,0,0,0,0,Grand Saya San Condo,1680.0,3,2,1.0,1.0,1.0,1,1,City View,204444.44,12.228056421802311
1,0,0,0,0,0,Grand Saya San Condo,2000.0,3,3,1.0,1.0,1.0,1,1,City View,204444.44,12.228056421802311
1,0,0,0,0,0,Grand Sayar San,1684.0,3,2,1.0,1.0,1.0,1,1,City View,175555.56,12.075716549169549
1,0,0,0,0,0,Grand Sayarsan Condo,2000.0,3,2,1.0,1.0,1.0,0,1,City View,204444.44,12.228056421802311
1,0,0,0,0,0,Grand Sayarsan Condo,1680.0,2,1,1.0,1.0,1.0,1,1,City View,204444.44,12.228056421802311
1,0,0,0,0,0,Grand Shwe Taung Kyar Condo,895.0,3,2,1.0,0.0,1.0,1,1,City View,217777.78,12.291235055900708
1,0,0,0,0,0,Grand Shwe Taung Kyar Condo,986.0,2,1,1.0,0.0,1.0,0,1,City View,217777.78,12.291235055900708
1,0,0,0,0,0,Grannd Sayar San Condo,1585.0,3,2,1.0,0.0,1.0,1,1,City View,188888.89,12.14891953167618
1,0,0,0,0,0,Infinity Condo,1670.0,2,2,1.0,1.0,1.0,1,1,Inya View,277777.78,12.534580320495701
1,0,0,0,0,0,Infinity Condo,1317.0,2,2,1.0,1.0,1.0,1,1,City View,211111.11,12.260144598368203
1,0,0,0,0,0,Infinity Condo,1317.0,2,2,1.0,1.0,1.0,1,1,City View,248755.56,12.424230026532404
